position,link,title,source,date,snippet,thumbnail,locality
4,https://www.business-standard.com/article/companies/why-mumbai-homes-are-so-expensive-115110200655_1.html,Why Mumbai homes are so expensive,Business Standard,"Nov 2, 2015","Mumbai's real estate prices are never out of the news. From the sale of 
spectacularly expensive trophy properties in South Mumbai to the...",https://serpapi.com/searches/66afcc2211c881fe0600d250/images/174508db064e12668e1d02372f1976bd600d8afc22f6986874ec254c133da4e9.jpeg,Girgaon
5,https://housing.com/news/nana-nani-park-girgaon-chowpatty-mumbai/,Nana Nani Park Girgaon Chowpatty Mumbai: Main attractions,Housing,"May 23, 2023","BMC created the Nana Nani Park in Mumbai in 2002. The park has amenities, 
including walking routes and workout equipment.",https://serpapi.com/searches/66afcc2211c881fe0600d250/images/174508db064e1266ef31294ec966aa4191d4593bbdb09c4130f2385069e06781.jpeg,Girgaon
6,https://www.newslaundry.com/2020/07/30/zee-medias-subhash-chandra-rents-out-mumbai-bungalow-to-the-chinese-consulate-according-to-real-estate-site,"Zee Media's Subhash Chandra rents out Mumbai bungalow to the Chinese Consulate, according to real estate site",Newslaundry,"Jul 30, 2020","Subhash Chandra, Rajya Sabha member and promoter of Zee Media group, has 
reportedly rented out a bungalow to the Chinese Consulate in Mumbai for a 
period of...",https://serpapi.com/searches/66afcc2211c881fe0600d250/images/174508db064e126652e951346708b284f5c1eb213e863520f0b344b2121fb9c8.jpeg,Girgaon
7,https://www.thehindubusinessline.com/news/real-estate/mondelez-india-renews-mumbai-office-lease-for-3-more-years/article66511144.ece,Mondelez India renews Mumbai office lease for 3 more years,The Hindu BusinessLine,"Feb 15, 2023","Mondelez to pay a monthly rent of ₹1 crore, which excludes car parking and 
common area maintenance charges.",https://serpapi.com/searches/66afcc2211c881fe0600d250/images/174508db064e1266dbe10058fb70d7eb474e2efba2d0ec97cd67b4f9ddc70f04.jpeg,Girgaon
8,https://www.livemint.com/news/mumbai-first-underground-metro-to-run-in-july-route-stations-schedule-11719280777148.html,"Mumbai’s first underground metro to run in July: Route, stations, schedule | Today News",mint,1 month ago,"Listed are the train timings, stations that will be covered under the 
Mumbai underground metro project and schedule.",https://serpapi.com/searches/66afcc2211c881fe0600d250/images/174508db064e126670138a188d0fd10b915ff1eca01036067f09ecd0236aac57.jpeg,Girgaon
9,https://www.timesnownews.com/business-economy/real-estate/story-behind-rakesh-jhunjhunwalas-new-luxurious-palace-in-mumbai-article-90367410,Story behind Rakesh Jhunjhunwala's new luxurious palace in Mumbai,Times Now,"Mar 22, 2022","Jhunjhunwala's new home's 4th floor has a banquet hall wherein the family 
can host large gatherings. The 8th floor has amenities like a gym...",https://serpapi.com/searches/66afcc2211c881fe0600d250/images/174508db064e12661d8b98ce7e9285edb69c6ef596739bd498e6e5375b7415fa.jpeg,Girgaon
10,https://realty.economictimes.indiatimes.com/news/industry/bmc-releases-list-of-226-dilapidated-buildings-in-mumbai/100542817,BMC releases list of 226 dilapidated buildings in Mumbai,ET Realty,"May 27, 2023","Of the 226 structures, the western suburbs account for the highest 126, 
followed by eastern suburbs with 65 and 35 in the island city,...",https://serpapi.com/searches/66afcc2211c881fe0600d250/images/174508db064e1266ccece3e5f398c0c8367579490b74b8dd5da0fcc47b34c022.jpeg,Girgaon
1,https://www.constructionworld.in/latest-construction-news/real-estate-news/redevelopment-of-housing-societies-in-south-mumbai/38351,Redevelopment of housing societies in South Mumbai,Construction World,"Jan 2, 2023","In the silk stocking enclaves of south Mumbai, such as Malabar Hill, 
Walkeshwar, Nepean Sea Road, and Altamount Road, redevelopment fever...",https://serpapi.com/searches/66afcc257d171a7f2157b2b6/images/6ce5bc72d4272df99aaed0419b4e7a7e645d89f98eb23fd03b2673c3c6f68c66.jpeg,Girgaon
2,https://housing.com/news/mhada-sends-immediate-evacuation-notice-to-15-south-mumbai-buildings/,Mhada sends immediate evacuation notice to 15 South Mumbai buildings,Housing,"Jun 6, 2023","The Maharashtra Housing and Area Development Authority (Mhada) has 
identified 15 dilapidated residential buildings in South Mumbai that are...",https://serpapi.com/searches/66afcc257d171a7f2157b2b6/images/6ce5bc72d4272df9f046dca5941dd7ac6219b36db76bb4954645286d9cd9f02b.jpeg,Girgaon
3,https://www.cnbctv18.com/real-estate/godrejs-bold-real-estate-bet-in-mumbai-a-swank-project-at-steep-prices-in-the-suburbs-5327201.htm,Godrej RKS: Why Mumbai's most audaciously-priced real estate project can succeed,CNBC TV18,"Feb 20, 2020","As a long-time witness to scores of real estate projects in Mumbai over the 
years, I have reduced the number of visits to new projects.",https://serpapi.com/searches/66afcc257d171a7f2157b2b6/images/6ce5bc72d4272df9e68ec12617ea414fbd3263fb0cac1c6d2f432dfff659802a.jpeg,Girgaon
4,https://www.hindustantimes.com/mumbai-news/1-781-acres-of-salt-pans-to-be-opened-up-for-real-estate/story-oRUFOw9V9meOAp27Usj7rI.html,"1,781 acres of salt pans spread across Mumbai to be opened up for real estate",Hindustan Times,"Aug 20, 2019","Salt pans are crucial to Mumbai's ecology, as according to a 2016 Mumbai 
Metropolitan Reg-ion Development Authority report, they safeguard...",https://serpapi.com/searches/66afcc257d171a7f2157b2b6/images/6ce5bc72d4272df9954dbfd5c9ac90e0a1709e53d08df6b40a828a5b7fa38097.png,Girgaon
5,https://housing.com/news/navi-mumbai-property-market-overview/,Navi Mumbai property market: An overview,Housing,"Feb 23, 2017","Mumbai, not being able to keep up with the rapid growth of population, has 
undergone major expansion and Navi Mumbai is one planned township...",https://serpapi.com/searches/66afcc257d171a7f2157b2b6/images/6ce5bc72d4272df9760314f601a08f3353505fafee4543dc0e59d23c11b49db9.jpeg,Girgaon
6,https://www.zeebiz.com/india/news-matunga-mumbai-s-real-estate-market-has-this-hidden-jewel-know-what-all-this-region-has-92768,Matunga: Mumbais real estate market has this hidden jewel - Know what all this region has,Zee Business,"Apr 3, 2019","Matunga is one of the prime locations in Mumbai. This prime central suburb 
has easy accessibility over the central, western and harbour...",https://serpapi.com/searches/66afcc257d171a7f2157b2b6/images/6ce5bc72d4272df90e07c6a684aea86a86fcbed7c1cd475a80be9bc668346069.jpeg,Girgaon
7,https://housing.com/news/mumbai-dcpr-2034-solve-real-estate-problems/,Mumbai DCPR 2034: Can it solve Mumbai’s real estate problems?,Housing,"Nov 3, 2020","The current Development Plan for Mumbai, has several positives and is a 
step in the right direction, but implementation of some of the...",https://serpapi.com/searches/66afcc257d171a7f2157b2b6/images/6ce5bc72d4272df91217bdf0a03e8535f90401767983c10a8ff18adf38d04d47.jpeg,Girgaon
8,https://www.freepressjournal.in/mumbai/freeway-coastal-roadtwintunnel-deadline-for-longest-road-tunnel-of-mumbai-declared,"By mid-2027, tunnel will connect the Eastern Freeway with Coastal Road in south Mumbai",Free Press Journal,"Jan 1, 2023","The work on the tunnel comprising 2+2 lanes to begin this year; it will be 
the longest road tunnel in Mumbai.",https://serpapi.com/searches/66afcc257d171a7f2157b2b6/images/6ce5bc72d4272df909d1f33c5a9a864e54c9559389155b68892d05280f6683f3.jpeg,Girgaon
9,https://mumbaimirror.indiatimes.com/mumbai/cover-story/chowpatty-building-that-houses-crystal-back-on-the-market/articleshow/17855234.cms,Chowpatty building that houses Crystal back on the market,Mumbai Mirror,"Oct 26, 2012","A sea-facing building at Girgaum Chowpatty that houses the well-known 
Crystal restaurant is back on the market less than three years after...",https://serpapi.com/searches/66afcc257d171a7f2157b2b6/images/6ce5bc72d4272df963377014089f326fba0a738de768bd0d9406e4cb67c8fd6d.jpeg,Girgaon
10,https://www.freepressjournal.in/legal/bombay-hc-to-tenants-in-girgaum-building-redevelopment-case-either-choose-mhada-or-a-new-developer,Bombay HC to tenants in Girgaum building redevelopment case: Either choose MHADA or a new developer,Free Press Journal,"Mar 17, 2023","44 tenants are out of their homes since 2013 have and not been paid transit 
rent.",https://serpapi.com/searches/66afcc257d171a7f2157b2b6/images/6ce5bc72d4272df982fbe242f8d46feccd6b3e13c90407dde59987369a4ef3da.jpeg,Girgaon
1,https://media.biltrax.com/indias-tallest-towers-aaradhya-avaan-tardeo-mumbai/,"India’s Tallest Towers – Aaradhya Avaan, Tardeo, Mumbai",Biltrax Media,"Apr 9, 2024","This project involves the development of India's tallest residential 
towers, Aaradhya Avaan, soaring 1000 feet (70 floors) in Tardeo,...",https://serpapi.com/searches/66afcc2c5b54ef70dda05c86/images/e9c749c90cf3aeeb0561ca7d26e4d6f804c0f98cf961d7400334dbb34aa1df5d.jpeg,Tardeo
2,https://www.livemint.com/companies/oberoi-realty-to-redevelop-land-in-mumbais-tardeo-expects-2-5-lakh-sq-ft-of-free-sale-component-11695834018843.html,"Oberoi Realty to redevelop land in Mumbai's Tardeo, expects 2.5 lakh sq ft of free sale component | Company Business News",mint,"Sep 27, 2023","The plot of the land, which is to be redeveloped, is adjoining a property 
already being redeveloped by Oberoi Realty in a joint venture,...",https://serpapi.com/searches/66afcc2c5b54ef70dda05c86/images/e9c749c90cf3aeebc3c621abef572ec1ac2bd157246451a061744928cf311efc.jpeg,Tardeo
3,https://realty.economictimes.indiatimes.com/news/industry/oberoi-realty-to-develop-13450-sq-meters-land-in-mumbai/104004914,"Oberoi Realty to develop 13,450 sq meters land in Mumbai",ET Realty,"Sep 28, 2023","Oberoi Realty: Currently, there are structures on the said land which are 
tenanted by Municipal Corporation of Greater Mumbai in favour of...",https://serpapi.com/searches/66afcc2c5b54ef70dda05c86/images/e9c749c90cf3aeebe0d2382f3a64d5e5de62656bf98fb8b0079ddd2ec2846e71.jpeg,Tardeo
4,https://www.ndtvprofit.com/business/biz-oberoi-realty-2,"Oberoi Realty Enters Into Agreement To Develop, Redevelop 13,450 Sqm Land Parcel In Mumbai",NDTV Profit,"Sep 27, 2023","Oberoi Realty has entered into an agreement to develop and redevelop 13,450 
square meter in Mumbai. The land parcel at Tardeo, Mumbai City,...",https://serpapi.com/searches/66afcc2c5b54ef70dda05c86/images/e9c749c90cf3aeebc0dc79c8c4bed7e89275473f24dd7d30f6bdd359784674ee.jpeg,Tardeo
5,https://www.moneycontrol.com/news/business/real-estate/oberoi-realty-to-redevelop-land-in-mumbais-tardeo-area-11442881.html,Oberoi Realty to redevelop land in Mumbai’s Tardeo area,Moneycontrol,"Sep 28, 2023","The company expects this project to generate a free sale component of 
around 2.5 lakh sq ft.",https://serpapi.com/searches/66afcc2c5b54ef70dda05c86/images/e9c749c90cf3aeeb9033f7bf3d276fcac3f0f1ac03a375ef14bbc58058d60350.jpeg,Tardeo
6,https://www.rprealtyplus.com/amp/interviews/tardeo-mumbais-preferred-luxury-real-estate-market-108291.html,Tardeo: Mumbai’s Preferred Luxury Real Estate Market,Realty Plus Magazine,"Nov 5, 2022","Tardeo: Mumbai's Preferred Luxury Real Estate Market ... Out of the most 
premium residential areas in South Mumbai, Tardeo is one of the most lavish 
and expensive...",https://serpapi.com/searches/66afcc2c5b54ef70dda05c86/images/e9c749c90cf3aeeb0be43175cc35648a5cdcdf7c3d39ab22ebb45b36b25aa236.jpeg,Tardeo
7,https://www.cnbctv18.com/real-estate/oberoi-realty-to-redevelop-prime-land-in-mumbais-tardeo-17897851.htm,Oberoi Realty to redevelop prime land in Mumbai's Tardeo,CNBC TV18,"Sep 27, 2023","At present, the land hosts existing structures, which are occupied by the 
Municipal Corporation of Greater Mumbai. Shares of Oberoi Realty...",https://serpapi.com/searches/66afcc2c5b54ef70dda05c86/images/e9c749c90cf3aeeb5d4a652432692d3a0141b935e2fc71a18add07fa5a94b904.jpeg,Tardeo
8,https://www.freepressjournal.in/mumbai/mumbai-man-infraconstruction-launches-aaradhya-avaan-project-in-tardeo-touted-to-be-indias-tallest-building-with-at-1000-feet-height,Mumbai: Man Infraconstruction Launches Aaradhya Avaan Project In Tardeo; Touted To Be Indias Tallest Building,Free Press Journal,"Nov 20, 2023","Aaradhya Avaan is anticipated to have total saleable carpet area of sale of 
6.5 lakh sq ft and constructed area of more than 18 lakh sq ft.",https://serpapi.com/searches/66afcc2c5b54ef70dda05c86/images/e9c749c90cf3aeeb4b0df646f5236f755da3a01f13cad052bfa5f181cd7dbddf.jpeg,Tardeo
9,https://www.constructionworld.in/latest-construction-news/real-estate-news/oberoi-realty-expands-in-tardeo-/44967,Oberoi Realty expands in Tardeo,Construction World,"Sep 28, 2023","""Oberoi Realty has officially entered into an agreement for the development 
and redevelopment of a sizable plot of land,...",https://serpapi.com/searches/66afcc2c5b54ef70dda05c86/images/e9c749c90cf3aeeb964696512a1c0f5e70292e6428ff6e85cac8e15bc6f1329b.jpeg,Tardeo
10,https://www.timesnownews.com/mumbai/more-than-1000-feet-tall-south-mumbai-may-soon-house-indias-tallest-building-article-105376950,"More Than 1,000 Feet Tall: South Mumbai May Soon House India's Tallest Building",Times Now,"Nov 21, 2023","MICL's Aaradhya Avaan project at Tardeo in South Mumbai has a planned 
height of more than 1000 feet. The current tallest building in India...",https://serpapi.com/searches/66afcc2c5b54ef70dda05c86/images/e9c749c90cf3aeebe563e1cb30cd293ea1e7a67d98fa9f9c439b607fded87209.jpeg,Tardeo
1,https://media.biltrax.com/kalpataru-to-redevelop-4-acre-housing-society-in-mumbais-andheri/,Kalpataru to redevelop 4 Acre Housing Society in Mumbai’s Andheri,Biltrax Media,"May 2, 2024","Kalpataru Ltd has acquired the rights to redevelop a large housing society in Andheri Lokhandwala, Mumbai, over nearly 4 Acres.",https://serpapi.com/searches/66afcc2f3bea7b89026bfb47/images/20c59ee2118afe7a863392403bc5bf03c41690045fe78c1a6c9e5231dc3f4343.jpeg,Tardeo
2,https://www.hindustantimes.com/real-estate/tardeo-in-south-mumbai-india-s-most-expensive-residential-location-in-primary-market-report/story-yAqwfDSPOncgwfBr9j4iEP.html,"Tardeo in South Mumbai, India’s most expensive residential location in primary market: Report",Hindustan Times,"Sep 9, 2019",Worli and Mahalaxmi in Mumbai Metropolitan Region (MMR) are placed at second and third positions with average housing prices of Rs 41500 and...,https://serpapi.com/searches/66afcc2f3bea7b89026bfb47/images/20c59ee2118afe7a7c2154b10a0ae2b354e9c6c6087594e2735a945c27ce1c7f.png,Tardeo
3,https://www.moneycontrol.com/news/business/real-estate/indias-tallest-building-in-mumbai-micl-aims-over-rs-8000-cr-revenue-potential-from-3-projects-11774181.html,"India's tallest building in Mumbai? MICL aims over Rs 8,000 cr revenue potential from 3 projects",Moneycontrol,"Nov 20, 2023","MICL has launched the project, Aaradhya Avaan, at Tardeo in southern Mumbai, which has a planned height of more than 1000 feet.",https://serpapi.com/searches/66afcc2f3bea7b89026bfb47/images/20c59ee2118afe7ac0bcc01d5ac342d20d128b842388caca98808f364764d806.jpeg,Tardeo
4,https://www.hindustantimes.com/cities/mumbai-news/mhada-enters-luxury-housing-segment-in-mumbai-with-flats-priced-at-up-to-7-58-crore-drawing-a-huge-response-in-a-recent-lottery-101684870584803.html,MHADA goes posh with ₹7.58 cr home up for sale,Hindustan Times,"May 24, 2023","Luxe properties in various categories are available in Tardeo, Juhu and Dadar Luxe properties in various categories are available in Tardeo,...",https://serpapi.com/searches/66afcc2f3bea7b89026bfb47/images/20c59ee2118afe7a28cedccfd630d8901dfea382ccf91dfb390cf3e8b476940c.jpeg,Tardeo
5,https://www.rprealtyplus.com/news-views/vdv-developers-manhattan-styled-apartment-project-in-tardeo-mumbai-110075.html,VDV Developer’s Manhattan-Styled Apartment Project in Tardeo Mumbai,Realty Plus Magazine,"Mar 30, 2023","The Altitude,' developed by VDV Developers, and Bhalchandra Walanju, a seasoned architect and designer is one-of-a-kind Manhattan-styled...",https://serpapi.com/searches/66afcc2f3bea7b89026bfb47/images/20c59ee2118afe7ab5c1ee65ed6369e6631f97f94e2cc3766c2fad0d3b9854b1.jpeg,Tardeo
6,https://www.moneycontrol.com/news/business/real-estate/mc-weekend-guide-are-new-york-style-loft-apartments-the-future-of-mumbai-real-estate-market-10540361.html,MC weekend guide: Are New York-style loft apartments the future of Mumbai real estate market?,Moneycontrol,"May 7, 2023","The Mumbai real estate market, which has been witnessing new launches consistently post the COVID-19 pandemic has seen some unique apartment...",https://serpapi.com/searches/66afcc2f3bea7b89026bfb47/images/20c59ee2118afe7a0773f967146c87711dd953b631596cd2448ca6e9fea6a0f7.jpeg,Tardeo
7,https://www.hindustantimes.com/cities/mumbai-news/costliest-mhada-flat-for-mla-mps-has-no-takers-101698867085704.html,Costliest MHADA flat for MLA-MPs has no takers,Hindustan Times,"Nov 2, 2023","A plush flat in Mumbai's expensive housing market, worth ₹7.57 crore, is struggling to find a buyer despite being subsidised for MPs and...",https://serpapi.com/searches/66afcc2f3bea7b89026bfb47/images/20c59ee2118afe7a936ae7d4f8a2675379fbe1a74e15ef804a3fd97b7af17af8.jpeg,Tardeo
